iter	RMSE
0	589.0666126
1	562.5811947
2	535.810658
3	511.1412134
4	488.7505116
5	465.5151817
6	443.6316423
7	422.8282245
8	403.7410081
9	385.4221008
10	368.4912715
11	351.6252221
12	336.6795341
13	321.7420209
14	307.868137
15	295.0578472
16	282.195963
17	270.2384912
18	259.0103493
19	248.6835377
20	238.3292005
21	228.5901849
22	219.3629214
23	211.3912739
24	202.7355391
25	194.9311765
26	187.1261248
27	180.2205528
28	173.0592733
29	166.4020175
30	160.8839346
31	155.6531446
32	150.5194831
33	145.5836848
34	141.3967576
35	136.5410187
36	132.0454747
37	127.6410122
38	123.6081732
39	120.1687012
40	116.1168349
41	112.2382234
42	108.5148191
43	105.3808188
44	102.1997062
45	99.49616753
46	96.64952611
47	94.52190563
48	92.40385837
49	90.08848015
50	88.38810651
51	86.18704522
52	83.83561346
53	81.74249849
54	80.36752164
55	78.4843177
56	77.29854919
57	76.04374632
58	74.73991685
59	73.12036419
60	71.62123103
61	70.75820523
62	69.91953982
63	68.57374094
64	67.68513259
65	66.97631978
66	65.67666538
67	64.98500522
68	64.29549536
69	63.11714815
70	62.12349509
71	61.1669587
72	60.2924328
73	59.79808216
74	59.3310126
75	58.83583245
76	58.07908938
77	57.41566732
78	56.88995927
79	55.99640776
80	55.55817107
81	55.15664058
82	54.73345878
83	54.31895038
84	53.63033305
85	52.88011073
86	52.52778649
87	52.1620081
88	51.57905526
89	51.31955757
90	50.97315364
91	50.61413645
92	50.32916706
93	49.93750015
94	49.6696744
95	49.41959096
96	48.93554808
97	48.40282963
98	48.0320799
99	47.7450594
100	47.42473455
101	47.18989911
102	46.71599367
103	46.1417566
104	45.85378288
105	45.59042265
106	45.26917648
107	45.02414582
108	44.75549362
109	44.56497219
110	44.40516379
111	44.14209316
112	43.76183359
113	43.65187189
114	43.32680999
115	43.021761
116	42.60627406
117	42.47270693
118	42.20269843
119	41.91220949
120	41.61656854
121	41.45762395
122	41.21798023
123	41.05157223
124	40.75258419
125	40.53169199
126	40.13498198
127	39.90560182
128	39.64444801
129	39.5400219
130	39.44939336
131	39.36340613
132	39.1187018
133	38.97158067
134	38.71470122
135	38.61621388
136	38.24673045
137	38.02525595
138	37.92544509
139	37.69319068
140	37.57056679
141	37.45177545
142	37.36294441
143	37.22299445
144	37.06645807
145	36.87836859
146	36.80328908
147	36.64224625
148	36.47961389
149	36.37433674
150	36.18575111
151	36.05951235
152	35.94769836
153	35.83827768
154	35.49072101
155	35.35937164
156	35.19253696
157	35.03806545
158	34.76356067
159	34.63170096
160	34.37741868
161	34.19610645
162	34.07465111
163	33.9712873
164	33.69693163
165	33.63935521
166	33.49373593
167	33.37588408
168	33.32352055
169	33.25346156
170	33.1165924
171	33.04311304
172	32.89925111
173	32.78613532
174	32.658681
175	32.61921693
176	32.45909213
177	32.35698511
178	32.28261946
179	32.16728938
180	32.07752667
181	31.97986494
182	31.88730624
183	31.79353239
184	31.58027057
185	31.36219755
186	31.255299
187	31.13399153
188	31.07257327
189	30.97526005
190	30.840415
191	30.78804078
192	30.67591691
193	30.54048813
194	30.43594529
195	30.33445122
196	30.21001783
197	30.10270782
198	30.0249468
199	29.97411431
200	29.85551455
201	29.74551099
202	29.54210996
203	29.3501599
204	29.17149293
205	29.11801493
206	29.01058156
207	28.94319196
208	28.85483337
209	28.75907951
210	28.6626485
211	28.49553903
212	28.451011
213	28.39298049
214	28.31257326
215	28.27899115
216	28.23606917
217	28.14626967
218	27.98809195
219	27.92473602
220	27.7754885
221	27.72183154
222	27.65106362
223	27.57617054
224	27.51985773
225	27.4389195
226	27.34188735
227	27.28300458
228	27.19738268
229	27.1295358
230	27.05303015
231	26.9461189
232	26.89466095
233	26.83297209
234	26.79095752
235	26.65322932
236	26.556771
237	26.51198516
238	26.42342164
239	26.33386061
240	26.2937335
241	26.22651107
242	26.14205929
243	26.1201764
244	25.99000864
245	25.91287124
246	25.84874428
247	25.72654891
248	25.6801185
249	25.64121454
250	25.55155399
251	25.50607817
252	25.43204217
253	25.36529
254	25.24993148
255	25.22548009
256	25.15352695
257	25.08675032
258	24.97781362
259	24.93569747
260	24.85949028
261	24.82159229
262	24.78755681
263	24.73217624
264	24.63056865
265	24.58198924
266	24.50978416
267	24.46460224
268	24.3673189
269	24.30355799
270	24.26741012
271	24.21972162
272	24.15418504
273	24.10331018
274	24.08864512
275	24.07507989
276	24.03191866
277	24.00976708
278	23.97855401
279	23.92127114
280	23.86153559
281	23.80313037
282	23.76382284
283	23.73399596
284	23.69583342
285	23.64025178
286	23.59074687
287	23.53823632
288	23.48962143
289	23.39901874
290	23.35714572
291	23.30307527
292	23.2790877
293	23.24254743
294	23.19480432
295	23.15503774
296	23.11321707
297	23.06875106
298	23.01837894
299	22.99804778
300	22.95966891
301	22.883049
302	22.84776811
303	22.80165184
304	22.76645904
305	22.724328
306	22.68230929
307	22.65280952
308	22.61383191
309	22.54348623
310	22.50525649
311	22.43771162
312	22.40967433
313	22.37951544
314	22.35237727
315	22.31941397
316	22.28586176
317	22.23545786
318	22.17229974
319	22.13919007
320	22.0936265
321	22.06308318
322	22.03890577
323	21.97971633
324	21.95289182
325	21.91891215
326	21.89202968
327	21.85241413
328	21.82415265
329	21.79481311
330	21.74027285
331	21.71662498
332	21.68290182
333	21.66694375
334	21.63732814
335	21.59932741
336	21.57247902
337	21.52055486
338	21.46828639
339	21.43984779
340	21.41125781
341	21.36152512
342	21.33346873
343	21.31345065
344	21.29521039
345	21.27333975
346	21.2476195
347	21.19995416
348	21.1763848
349	21.12732657
350	21.10605031
351	21.07885929
352	21.06280004
353	21.04386798
354	21.01864674
355	21.00035396
356	20.95444738
357	20.92527155
358	20.90740813
359	20.85799275
360	20.8145244
361	20.79352005
362	20.75623977
363	20.74182644
364	20.72305703
365	20.70150545
366	20.65788671
367	20.63497146
368	20.61759254
369	20.58217768
370	20.55030599
371	20.51734136
372	20.45909623
373	20.41558516
374	20.37844661
375	20.35293763
376	20.33380187
377	20.31989086
378	20.29850072
379	20.27775966
380	20.2547326
381	20.23468348
382	20.21588951
383	20.19839642
384	20.18289223
385	20.16905085
386	20.14610836
387	20.11684751
388	20.09961837
389	20.08264571
390	20.03022212
391	19.99150687
392	19.97471402
393	19.95215373
394	19.93813634
395	19.8887799
396	19.87177903
397	19.83607904
398	19.81520604
399	19.79960649
400	19.77916817
401	19.75068156
402	19.73795276
403	19.69580037
404	19.64932677
405	19.63200571
406	19.57267221
407	19.55413399
408	19.52239261
409	19.50040068
410	19.47831963
411	19.46152773
412	19.44334617
413	19.39311945
414	19.35588385
415	19.30466694
416	19.25878683
417	19.21426546
418	19.16340985
419	19.11560701
420	19.09363536
421	19.0715774
422	19.05140173
423	19.03208227
424	19.01803706
425	19.00378452
426	18.95885367
427	18.91652473
428	18.89829954
429	18.87650819
430	18.83869503
431	18.81870031
432	18.78276087
433	18.76619647
434	18.73014245
435	18.69582843
436	18.67352097
437	18.65516993
438	18.63150475
439	18.59810443
440	18.57287498
441	18.55850715
442	18.54367348
443	18.51012401
444	18.4985903
445	18.48587253
446	18.46923877
447	18.44581732
448	18.43120793
449	18.4095099
450	18.40065454
451	18.38441979
452	18.36721318
453	18.34504567
454	18.33408763
455	18.31562494
456	18.29770854
457	18.28512736
458	18.27222248
459	18.25499234
460	18.23329891
461	18.21292368
462	18.197306
463	18.18294579
464	18.17137732
465	18.1550347
466	18.14309866
467	18.13186823
468	18.11673943
469	18.10605929
470	18.09212893
471	18.07887691
472	18.05890922
473	18.04609346
474	18.03610954
475	18.02038598
476	18.00779911
477	17.9960194
478	17.98747389
479	17.97398441
480	17.95636973
481	17.94251735
482	17.93446742
483	17.90781407
484	17.89501876
485	17.88392589
486	17.85840391
487	17.85066949
488	17.84030057
489	17.82192788
490	17.81140329
491	17.80128984
492	17.79153834
493	17.78239624
494	17.7704727
495	17.74032024
496	17.73002422
497	17.72200455
498	17.69821575
499	17.69512561
500	17.69212995
501	17.66587007
502	17.66298963
503	17.64826891
504	17.6250842
505	17.60902616
506	17.60243628
507	17.58842802
508	17.58071587
509	17.56148372
510	17.55104003
511	17.5364031
512	17.52190305
513	17.516779
514	17.50852227
515	17.49243857
516	17.48066992
517	17.47305626
518	17.46314776
519	17.44784628
520	17.43339394
521	17.42645817
522	17.41575762
523	17.39812484
524	17.36428167
525	17.3588179
526	17.34780354
527	17.33603871
528	17.31887494
529	17.3099428
530	17.28183
531	17.26806888
532	17.26198537
533	17.24640696
534	17.23618415
535	17.22637151
536	17.21306593
537	17.20012414
538	17.19046278
539	17.17814828
540	17.1731261
541	17.15961046
542	17.14646911
543	17.13435995
544	17.12026673
545	17.11103092
546	17.07984882
547	17.07543507
548	17.06268765
549	17.05404163
550	17.04715212
551	17.03831808
552	17.03208272
553	17.01789178
554	17.01308975
555	17.00210525
556	16.98811416
557	16.97761955
558	16.96445371
559	16.95528432
560	16.95075175
561	16.94176486
562	16.9232489
563	16.91530453
564	16.9060919
565	16.88823869
566	16.87502942
567	16.86989555
568	16.84470015
569	16.83619696
570	16.82641834
571	16.80955025
572	16.80351827
573	16.7927933
574	16.78314464
575	16.77100855
576	16.75510469
577	16.74858728
578	16.73386874
579	16.7258975
580	16.71443228
581	16.70841733
582	16.69393567
583	16.68118074
584	16.65370406
585	16.64067024
586	16.63566382
587	16.62854775
588	16.6248989
589	16.61823389
590	16.60787386
591	16.60054353
592	16.58833141
593	16.58260163
594	16.56701316
595	16.56006514
596	16.54806255
597	16.54221926
598	16.53403731
599	16.52006176
600	16.51385096
601	16.50695221
602	16.50055801
603	16.48709568
604	16.47470398
605	16.46679373
606	16.45751777
607	16.4434206
608	16.43307625
609	16.42911387
610	16.41479455
611	16.40662653
612	16.39949049
613	16.39357488
614	16.38653926
615	16.38088823
616	16.37275174
617	16.36168019
618	16.35575777
619	16.34231381
620	16.33147585
621	16.32182544
622	16.30966874
623	16.30014618
624	16.29076415
625	16.28010462
626	16.26868921
627	16.25771481
628	16.24758165
629	16.21678622
630	16.21112621
631	16.20692173
632	16.19804719
633	16.18979638
634	16.15927782
635	16.15524072
636	16.13216078
637	16.12677712
638	16.120788
639	16.11507633
640	16.10765934
641	16.0984411
642	16.09303005
643	16.08431643
644	16.07830046
645	16.05630293
646	16.04720275
647	16.03664933
648	16.02898271
649	16.02131635
650	16.01432205
651	15.98684534
652	15.98250718
653	15.97682243
654	15.96828409
655	15.95735367
656	15.95324024
657	15.94767512
658	15.93951845
659	15.93322756
660	15.9281266
661	15.92429296
662	15.91462345
663	15.90989296
664	15.90351953
665	15.89579903
666	15.87487764
